x_mm,y_mm,z_mm
3.000133752822875977e+01,9.550000000000000000e+01,9.500000000000000000e+01
3.000133752822875977e+01,9.550000000000000000e+01,9.600000000000000000e+01
3.000133752822875977e+01,9.550000000000000000e+01,9.700000000000000000e+01
3.000133752822875977e+01,9.550000000000000000e+01,9.800000000000000000e+01
3.000133752822875977e+01,9.550000000000000000e+01,9.900000000000000000e+01
3.100138211250305176e+01,9.200000000000000000e+01,9.700000000000000000e+01
3.200142669677734375e+01,9.200000000000000000e+01,9.750000000000000000e+01
3.200142669677734375e+01,9.150000000000000000e+01,9.800000000000000000e+01
3.200142669677734375e+01,9.150000000000000000e+01,9.900000000000000000e+01
3.200142669677734375e+01,9.150000000000000000e+01,1.000000000000000000e+02
3.100138211250305176e+01,9.200000000000000000e+01,1.010000000000000000e+02
3.200142669677734375e+01,9.200000000000000000e+01,1.005000000000000000e+02
3.100138211250305176e+01,9.200000000000000000e+01,1.020000000000000000e+02
3.100138211250305176e+01,9.200000000000000000e+01,1.030000000000000000e+02
3.100138211250305176e+01,9.300000000000000000e+01,9.500000000000000000e+01
3.200142669677734375e+01,9.300000000000000000e+01,9.450000000000000000e+01
3.200142669677734375e+01,9.250000000000000000e+01,9.500000000000000000e+01
3.200142669677734375e+01,9.250000000000000000e+01,9.600000000000000000e+01
3.200142669677734375e+01,9.250000000000000000e+01,9.700000000000000000e+01
3.200142669677734375e+01,9.250000000000000000e+01,1.010000000000000000e+02
3.200142669677734375e+01,9.250000000000000000e+01,1.020000000000000000e+02
3.200142669677734375e+01,9.250000000000000000e+01,1.030000000000000000e+02
3.200142669677734375e+01,9.300000000000000000e+01,1.035000000000000000e+02
3.200142669677734375e+01,9.400000000000000000e+01,9.450000000000000000e+01
3.100138211250305176e+01,9.400000000000000000e+01,1.030000000000000000e+02
3.200142669677734375e+01,9.400000000000000000e+01,1.035000000000000000e+02
3.100138211250305176e+01,9.500000000000000000e+01,9.400000000000000000e+01
3.200142669677734375e+01,9.500000000000000000e+01,9.350000000000000000e+01
3.200142669677734375e+01,9.450000000000000000e+01,9.400000000000000000e+01
3.100138211250305176e+01,9.500000000000000000e+01,1.000000000000000000e+02
3.100138211250305176e+01,9.500000000000000000e+01,1.010000000000000000e+02
3.200142669677734375e+01,9.500000000000000000e+01,1.015000000000000000e+02
3.200142669677734375e+01,9.450000000000000000e+01,1.020000000000000000e+02
3.200142669677734375e+01,9.450000000000000000e+01,1.030000000000000000e+02
3.200142669677734375e+01,9.550000000000000000e+01,9.400000000000000000e+01
3.100138211250305176e+01,9.600000000000000000e+01,9.500000000000000000e+01
3.200142669677734375e+01,9.600000000000000000e+01,9.450000000000000000e+01
3.100138211250305176e+01,9.600000000000000000e+01,9.600000000000000000e+01
3.100138211250305176e+01,9.600000000000000000e+01,9.700000000000000000e+01
3.200142669677734375e+01,9.600000000000000000e+01,9.750000000000000000e+01
3.200142669677734375e+01,9.550000000000000000e+01,9.800000000000000000e+01
3.200142669677734375e+01,9.550000000000000000e+01,9.900000000000000000e+01
3.200142669677734375e+01,9.550000000000000000e+01,1.000000000000000000e+02
3.200142669677734375e+01,9.550000000000000000e+01,1.010000000000000000e+02
3.200142669677734375e+01,9.650000000000000000e+01,9.500000000000000000e+01
3.200142669677734375e+01,9.650000000000000000e+01,9.600000000000000000e+01
3.200142669677734375e+01,9.650000000000000000e+01,9.700000000000000000e+01
3.300147128105163574e+01,9.200000000000000000e+01,9.500000000000000000e+01
3.400151586532592773e+01,9.200000000000000000e+01,9.450000000000000000e+01
3.400151586532592773e+01,9.150000000000000000e+01,9.500000000000000000e+01
3.400151586532592773e+01,9.150000000000000000e+01,9.600000000000000000e+01
3.300147128105163574e+01,9.200000000000000000e+01,9.600000000000000000e+01
3.400151586532592773e+01,9.150000000000000000e+01,9.700000000000000000e+01
3.300147128105163574e+01,9.200000000000000000e+01,9.700000000000000000e+01
3.400151586532592773e+01,9.200000000000000000e+01,9.750000000000000000e+01
3.300147128105163574e+01,9.200000000000000000e+01,9.800000000000000000e+01
3.300147128105163574e+01,9.200000000000000000e+01,9.900000000000000000e+01
3.300147128105163574e+01,9.200000000000000000e+01,1.000000000000000000e+02
3.400151586532592773e+01,9.300000000000000000e+01,9.450000000000000000e+01
3.400151586532592773e+01,9.250000000000000000e+01,9.800000000000000000e+01
3.400151586532592773e+01,9.250000000000000000e+01,9.900000000000000000e+01
3.400151586532592773e+01,9.250000000000000000e+01,1.000000000000000000e+02
3.400151586532592773e+01,9.250000000000000000e+01,1.010000000000000000e+02
3.300147128105163574e+01,9.300000000000000000e+01,1.020000000000000000e+02
3.400151586532592773e+01,9.300000000000000000e+01,1.015000000000000000e+02
3.300147128105163574e+01,9.300000000000000000e+01,1.030000000000000000e+02
3.300147128105163574e+01,9.400000000000000000e+01,9.400000000000000000e+01
3.400151586532592773e+01,9.400000000000000000e+01,9.350000000000000000e+01
3.400151586532592773e+01,9.350000000000000000e+01,9.400000000000000000e+01
3.400151586532592773e+01,9.350000000000000000e+01,1.020000000000000000e+02
3.400151586532592773e+01,9.350000000000000000e+01,1.030000000000000000e+02
3.400151586532592773e+01,9.400000000000000000e+01,1.035000000000000000e+02
3.400151586532592773e+01,9.500000000000000000e+01,9.350000000000000000e+01
3.300147128105163574e+01,9.500000000000000000e+01,1.020000000000000000e+02
3.400151586532592773e+01,9.500000000000000000e+01,1.025000000000000000e+02
3.400151586532592773e+01,9.450000000000000000e+01,1.030000000000000000e+02
3.300147128105163574e+01,9.600000000000000000e+01,9.400000000000000000e+01
3.400151586532592773e+01,9.600000000000000000e+01,9.350000000000000000e+01
3.300147128105163574e+01,9.600000000000000000e+01,9.800000000000000000e+01
3.300147128105163574e+01,9.600000000000000000e+01,9.900000000000000000e+01
3.400151586532592773e+01,9.600000000000000000e+01,9.950000000000000000e+01
3.400151586532592773e+01,9.550000000000000000e+01,1.000000000000000000e+02
3.400151586532592773e+01,9.550000000000000000e+01,1.010000000000000000e+02
3.400151586532592773e+01,9.550000000000000000e+01,1.020000000000000000e+02
3.400151586532592773e+01,9.650000000000000000e+01,9.400000000000000000e+01
3.400151586532592773e+01,9.650000000000000000e+01,9.500000000000000000e+01
3.400151586532592773e+01,9.650000000000000000e+01,9.600000000000000000e+01
3.400151586532592773e+01,9.650000000000000000e+01,9.700000000000000000e+01
3.400151586532592773e+01,9.650000000000000000e+01,9.800000000000000000e+01
3.400151586532592773e+01,9.650000000000000000e+01,9.900000000000000000e+01
3.500156044960021973e+01,9.200000000000000000e+01,9.400000000000000000e+01
3.600160503387451172e+01,9.200000000000000000e+01,9.350000000000000000e+01
3.600160503387451172e+01,9.150000000000000000e+01,9.400000000000000000e+01
3.600160503387451172e+01,9.150000000000000000e+01,9.500000000000000000e+01
3.600160503387451172e+01,9.150000000000000000e+01,9.600000000000000000e+01
3.500156044960021973e+01,9.200000000000000000e+01,9.700000000000000000e+01
3.600160503387451172e+01,9.200000000000000000e+01,9.650000000000000000e+01
3.500156044960021973e+01,9.300000000000000000e+01,9.400000000000000000e+01
3.600160503387451172e+01,9.300000000000000000e+01,9.350000000000000000e+01
3.600160503387451172e+01,9.250000000000000000e+01,9.700000000000000000e+01
3.600160503387451172e+01,9.250000000000000000e+01,9.800000000000000000e+01
3.600160503387451172e+01,9.250000000000000000e+01,9.900000000000000000e+01
3.600160503387451172e+01,9.250000000000000000e+01,1.000000000000000000e+02
3.500156044960021973e+01,9.300000000000000000e+01,1.010000000000000000e+02
3.600160503387451172e+01,9.300000000000000000e+01,1.005000000000000000e+02
3.600160503387451172e+01,9.400000000000000000e+01,9.350000000000000000e+01
3.600160503387451172e+01,9.350000000000000000e+01,1.010000000000000000e+02
3.500156044960021973e+01,9.400000000000000000e+01,1.020000000000000000e+02
3.600160503387451172e+01,9.400000000000000000e+01,1.015000000000000000e+02
3.500156044960021973e+01,9.400000000000000000e+01,1.030000000000000000e+02
3.500156044960021973e+01,9.500000000000000000e+01,9.300000000000000000e+01
3.600160503387451172e+01,9.500000000000000000e+01,9.250000000000000000e+01
3.600160503387451172e+01,9.450000000000000000e+01,9.300000000000000000e+01
3.600160503387451172e+01,9.450000000000000000e+01,1.020000000000000000e+02
3.600160503387451172e+01,9.450000000000000000e+01,1.030000000000000000e+02
3.500156044960021973e+01,9.450000000000000000e+01,1.025000000000000000e+02
3.500156044960021973e+01,9.500000000000000000e+01,1.030000000000000000e+02
3.600160503387451172e+01,9.500000000000000000e+01,1.035000000000000000e+02
3.500156044960021973e+01,9.600000000000000000e+01,9.300000000000000000e+01
3.600160503387451172e+01,9.600000000000000000e+01,9.250000000000000000e+01
3.500156044960021973e+01,9.600000000000000000e+01,1.000000000000000000e+02
3.500156044960021973e+01,9.600000000000000000e+01,1.010000000000000000e+02
3.600160503387451172e+01,9.600000000000000000e+01,1.015000000000000000e+02
3.600160503387451172e+01,9.550000000000000000e+01,1.020000000000000000e+02
3.600160503387451172e+01,9.550000000000000000e+01,1.030000000000000000e+02
3.600160503387451172e+01,9.650000000000000000e+01,9.300000000000000000e+01
3.500156044960021973e+01,9.700000000000000000e+01,9.400000000000000000e+01
3.600160503387451172e+01,9.700000000000000000e+01,9.350000000000000000e+01
3.500156044960021973e+01,9.700000000000000000e+01,9.500000000000000000e+01
3.500156044960021973e+01,9.700000000000000000e+01,9.600000000000000000e+01
3.500156044960021973e+01,9.700000000000000000e+01,9.700000000000000000e+01
3.500156044960021973e+01,9.700000000000000000e+01,9.800000000000000000e+01
3.600160503387451172e+01,9.700000000000000000e+01,9.850000000000000000e+01
3.600160503387451172e+01,9.650000000000000000e+01,9.900000000000000000e+01
3.600160503387451172e+01,9.650000000000000000e+01,1.000000000000000000e+02
3.600160503387451172e+01,9.650000000000000000e+01,1.010000000000000000e+02
3.600160503387451172e+01,9.750000000000000000e+01,9.400000000000000000e+01
